what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610889931
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1422610893243
opened,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422610893447
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1422610893853
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422610893853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422611027081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422612355747
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422612358270
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422612405413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422612425234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422612426703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422612721407
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1422612723801
opened,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422612724176
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422612724239
